,Cation Concentration Summary Report,,,,,,
,,,,,,,
No. ,Name ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Sodium,Ammonia,Potassium,Magnesium,Calcium
82,DOC_CMPS_KFP_0331,n.a.,64.56,1.24,3.47,1.04,0.73  
83,DOC_CMPS_KFP_0332,n.a.,93.46,0.76,4.82,1.77,n.a.
84,DOC_CMPS_KFP_0333,n.a.,65.85,0.16,3.28,1.25,0.56  
85,DOC_CMPS_KFP_0334,n.a.,82.23,1.25,4.95,1.77,0.75  
86,DOC_CMPS_KFP_0335,n.a.,71.01,1.34,3.93,1.73,0.81  
87,DOC_CMPS_KFP_0336,n.a.,709.69,3.57,30.68,73.72,n.a.
88,DOC_CMPS_KFP_0337,n.a.,588.37,2.06,28.71,44.65,n.a.
89,DOC_CMPS_KFP_0338,n.a.,479.76,n.a.,23.23,36.47,n.a.
90,DOC_CMPS_KFP_0339,n.a.,173.18,n.a.,9.57,4.82,n.a.
91,DOC_CMPS_KFP_0340,n.a.,511.45,3.93,23.37,37.50,n.a.
92,C-20x,2.60,10.42,12.41,26.03,13.32,26.90  
93,MQ7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94,DOC_CMPS_KFP_0341,n.a.,101.42,1.63,5.78,0.98,n.a.
95,DOC_CMPS_KFP_0342,n.a.,0.80,n.a.,n.a.,n.a.,n.a.
96,DOC_CMPS_KFP_0343,n.a.,0.43,n.a.,n.a.,n.a.,n.a.
97,DOC_CMPS_KFP_0344,n.a.,155.40,n.a.,8.40,10.09,n.a.
98,DOC_CMPS_KFP_0345,n.a.,367.06,0.86,20.32,19.72,n.a.
99,DOC_CMPS_KFP_0346,n.a.,514.56,0.85,24.13,37.95,12.47  
100,DOC_CMPS_KFP_0347,n.a.,152.05,n.a.,10.04,5.67,n.a.
101,DOC_CMPS_KFP_0348,n.a.,141.18,n.a.,8.13,4.80,n.a.
102,DOC_CMPS_KFP_0349,n.a.,98.89,n.a.,5.21,2.01,0.86  
103,DOC_CMPS_KFP_0350,n.a.,84.69,n.a.,4.80,1.89,0.81  
104,C-20x,2.60,10.44,12.49,26.07,13.33,27.02  
105,A-20x,n.a.,1.59,n.a.,0.25,n.a.,n.a.
106,MQ8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
107,DOC_CMPS_KFP_0351,n.a.,92.08,n.a.,5.27,3.08,1.30  
108,DOC_CMPS_KFP_0352,n.a.,117.42,n.a.,7.41,4.63,n.a.
109,DOC_CMPS_KFP_0353,n.a.,87.83,n.a.,5.49,3.57,n.a.
110,DOC_CMPS_KFP_0354,n.a.,109.46,n.a.,5.50,2.06,0.79  
111,DOC_CMPS_KFP_0355,n.a.,185.98,1.24,11.05,4.70,n.a.
112,DOC_CMPS_KFP_0356,n.a.,116.14,1.20,6.73,1.61,0.89  
113,DOC_CMPS_KFP_0357,n.a.,124.15,1.01,7.04,1.71,n.a.
114,DOC_CMPS_KFP_0358,n.a.,136.85,n.a.,8.01,4.76,n.a.
115,DOC_CMPS_KFP_0359,n.a.,146.45,n.a.,8.70,6.05,n.a.
116,DOC_CMPS_KFP_0360,n.a.,135.83,1.13,8.17,2.30,n.a.
117,C-20x,2.60,10.44,12.51,26.06,13.39,27.25  
118,MQ9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
119,DOC_CMPS_KFP_0361,n.a.,118.42,0.98,7.06,1.74,n.a.
120,DOC_CMPS_KFP_0362,n.a.,103.79,n.a.,7.16,3.98,1.73  
121,DOC_CMPS_KFP_0363,n.a.,70.67,n.a.,4.68,2.51,0.96  
122,DOC_CMPS_KFP_0364,n.a.,90.96,n.a.,5.28,3.23,1.34  
123,DOC_CMPS_KFP_0365,n.a.,1.03,n.a.,n.a.,n.a.,n.a.
124,DOC_CMPS_KFP_0366,n.a.,0.52,n.a.,n.a.,n.a.,n.a.
125,C-20x,2.61,10.47,12.58,26.16,13.42,27.30  
126,MQ10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,Sum:,39.226  ,10856.245  ,257.757  ,917.406  ,805.455  ,475.338  
,Average:,2.179  ,95.230  ,3.736  ,8.821  ,7.671  ,6.173  
,Rel.Std.Dev:,104.724 %,138.207 %,193.010 %,142.031 %,184.143 %,228.653 %
