"sample_label","pH","spConductance","TC","TN","TS","WEOC","NO3N","NH4N","Na","K","Ca","Mg","Al","CEC","Fe","P","Chloride","Sulfate","region","site","transect","tree_number","horizon"
"COMPASS_Aug22_217",5.3,0.04,4.683,0.28,0.022,54.38,0.78,27,0.06,0.58,5.54,2.23,0.15,8.56,83.32,4.67,0.016,0.015,"CB","GCW","upland","C10","A"
"COMPASS_Aug22_218",5.4,0.01,3.128,0.125,0.016,38.95,0.68,26.7,0.04,0.51,3.24,1.68,0.16,5.63,15.5,3.42,0.018,0.008,"CB","GCW","upland","C07","A"
"COMPASS_Aug22_219",5,0.02,5.448,0.232,0.029,70.21,0.76,21,0.04,0.81,3.83,3.24,1.91,9.84,19.5,3.13,0.015,0.016,"CB","GCW","upland","C19","A"
"COMPASS_Aug22_220",4.9,0.01,3.016,0.137,0.019,34.54,0.67,17.98,0.05,0.77,2.29,2.67,6.42,12.19,18.9,4.57,0.011,0.008,"CB","GCW","upland","C09","A"
"COMPASS_Aug22_221",5.2,0.01,3.476,0.229,0.022,41.41,0.73,20.57,0.03,0.4,4.48,2.32,0.74,7.96,23.51,4.92,0.019,0.013,"CB","GCW","upland","1383","A"
"COMPASS_Aug22_222",5.2,0.03,6.772,0.387,0.038,100.86,0.85,21.15,0.06,0.73,6.55,5.36,0.68,13.38,12.98,8.9,0.026,0.023,"CB","GCW","upland","1379","A"
"COMPASS_Aug22_223",4.4,0.12,6.886,0.314,0.048,130.83,0.71,21.96,1.45,0.58,1.22,2.04,2.66,7.93,38.73,4.54,0.603,0.085,"CB","GCW","transition","L1","A"
"COMPASS_Aug22_224",5,0.04,8.443,0.404,0.035,99.76,1.02,25.77,0.54,0.44,1.48,2.9,1.53,6.9,161.01,3.67,0.042,0.11,"CB","GCW","transition","L2","A"
"COMPASS_Aug22_225",4.7,0.06,11.471,0.582,0.059,105.69,1.09,3.04,0.74,0.57,1.05,3.24,2.95,8.55,315.25,4.57,0.193,0.188,"CB","GCW","transition","L3","A"
"COMPASS_Aug22_226",4.6,0.06,10.086,0.57,0.084,69.94,1.13,1.81,0.54,0.49,0.82,2.77,3.42,8.04,447.76,3.85,0.152,0.225,"CB","GCW","transition","L4","A"
"COMPASS_Aug22_227",4.6,0.05,6.178,0.369,0.113,65.89,1.11,20.81,0.34,0.49,0.65,2.03,2.39,5.89,1.89,5.99,0.096,0.279,"CB","GCW","transition","L5","A"
"COMPASS_Aug22_228",4.4,0.02,6.194,0.344,0.037,75.4,0.71,3.34,0.08,0.63,1.23,2.24,7.98,12.16,17.4,10.66,0.008,0.02,"CB","GCW","transition","L6","A"
"COMPASS_Aug22_229",4.6,0.02,5.779,0.359,0.039,48.53,0.83,1.98,0.09,0.29,0.92,1.64,5.83,8.76,104.54,3.31,0.03,0.043,"CB","GCW","transition","711","A"
"COMPASS_Aug22_230",4.5,0.03,6.014,0.343,0.044,52.96,0.9,1.62,0.14,0.35,0.8,1.69,5.32,8.3,196.47,5.06,0.046,0.086,"CB","GCW","transition","713","A"
"COMPASS_Aug22_231",5.5,5.39,31.188,1.527,1.459,175.22,4.95,24.26,,,,,,,31.69,167.29,99.71,37.442,"CB","GCW","wc","W1","A"
"COMPASS_Aug22_232",5.5,5.75,,,,190.43,4.75,31.84,88.81,2.93,9.07,35.27,0,136.08,21.15,33.14,99.384,54.045,"CB","GCW","wc","W2","A"
"COMPASS_Aug22_233",5.4,4.35,28.666,1.616,1.909,244.99,4.78,40.59,66.78,2.75,8.53,28.8,0,106.87,45.95,48.3,101.226,39.565,"CB","GCW","wc","W3","A"
"COMPASS_Aug22_234",5.7,4.5,34.079,1.681,1.836,184.01,4.62,6.01,88.32,3.53,7.16,32.48,0,131.49,108.73,201,97.291,37.672,"CB","GCW","wc","W4","A"
"COMPASS_Aug22_235",5.7,5.33,32.682,1.57,1.981,172.81,4.7,31.01,83.14,2.62,8.82,32.96,0.11,127.65,,43.64,107.477,46.246,"CB","GCW","wc","W5","A"
"COMPASS_Aug22_236",5.4,4.86,30.871,1.595,2.105,158.4,4.75,19.97,66.86,2.26,11.08,32.75,0,112.94,,43.57,95.793,36.818,"CB","GCW","wc","W6","A"
"COMPASS_Aug22_237",5.6,5.17,29.879,1.655,1.897,170.9,4.73,20.83,82.89,2.61,8.14,31.17,0.15,124.96,137.31,48.57,107.386,23.576,"CB","GCW","wc","W7","A"
"COMPASS_Aug22_238",5.2,4.16,27.964,1.619,1.7,195.34,5.25,24.66,93.39,2.67,8.52,34.48,0.16,139.21,85.82,39.88,129.323,65.115,"CB","GCW","wc","W8","A"
