"sample_label","region","site","transect","tree_number","horizon","gwc_perc","pH","spConductance_mscm","TC_perc","TN_perc","TS_perc","percentOM","npoc_ug_g","dic_ugg","no3n_ug_g","nh4n_ug_g","Na_meq100g","K_meq100g","Ca_meq100g","Mg_meq100g","Al_meq100g","cec_meq100g","Fe_ugg","mehlichp_ugg","Chloride_meq100g","Sulfate_meq100g"
"COMPASS_May22_174","CB","GWI","upland","642","O",148.68,5.5,0.37,22.122,0.808,0.088,41.91,600.49,758.47,1.39,23.43,9.64,0.68,2.58,7.16,0.19,20.25,20.42,1.56,2.553,0.313
"COMPASS_May22_213_extra","CB","GWI","upland","642","O",114.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS_May22_175","CB","GWI","upland","647","O",161.22,4.4,0.77,33.96,1.255,0.144,62.05,643.44,790.12,1.47,21.28,14.6,1.03,2.99,8.62,0.47,27.7,9.76,63.14,6.023,0.577
"COMPASS_May22_176","CB","GWI","upland","650","O",146.15,4.6,0.35,30.739,1.321,0.173,57.88,619.19,742.57,1.38,19.97,10.51,0.9,2.76,7.29,0.54,21.99,13.18,18.14,1.803,0.201
"COMPASS_May22_177","CB","GWI","upland","678","O",232.38,4.7,0.23,37.672,1.347,0.176,60.3,839.57,1024.97,1.89,23.68,11.4,0.99,3.57,8.67,0.64,25.27,27.47,14.21,0.858,0.063
"COMPASS_May22_178","CB","GWI","upland","682","O",253.27,3.8,1.65,30.709,1.403,0.175,72.87,528.36,1087.45,2.02,22.22,17.17,1.09,2.63,9.71,1.58,32.18,41.63,17.65,12.985,1.292
"COMPASS_May22_179","CB","GWI","upland","683","O",136.96,5,0.51,35.26,1.324,0.162,66.01,1003.81,714.84,1.32,20.22,16.29,1.13,3.22,9.38,0.12,30.15,24.44,72.26,2.988,0.241
"COMPASS_May22_180","CB","GWI","transition","162","O",447.73,6.3,1.65,20.996,0.968,0.253,51.83,552.47,1810.03,3.18,67.44,35.61,1.87,7.18,26.45,0.05,71.16,158.49,9.18,23.621,2.36
"COMPASS_May22_181","CB","GWI","transition","163","O",495.95,6.7,1.43,30.533,1.422,0.264,65.41,614.54,2024.44,3.46,100.45,37.55,2.53,9.1,35.39,0,84.56,NA,10.49,15.806,1.313
"COMPASS_May22_182","CB","GWI","transition","164","O",521.79,6.5,2.1,26.548,1.27,0.289,55.35,646.6,2148.87,3.62,111.64,44.06,2.2,9.85,37.13,0,93.24,646.58,13.52,28.21,2.515
"COMPASS_May22_183","CB","GWI","transition","766","O",449.28,6.7,1.84,NA,NA,NA,53.08,820.25,1775.13,11.15,109.87,36.28,2.02,9.92,36.85,0,85.06,286.53,13.55,15.082,1.352
"COMPASS_May22_184","CB","GWI","transition","777","O",519.75,6.5,1.87,27.125,1.17,0.209,76.01,558.1,2002.36,3.62,81.19,43.76,2.12,9.9,37.72,0.04,93.54,419.06,7.8,26.348,2.487
"COMPASS_May22_185","CB","GWI","transition","782","O",458.11,6.5,2.67,NA,NA,NA,69.45,545.51,1861.01,3.25,51.33,41.73,2,10.02,38.24,0,91.98,484.89,6.82,23.531,2.122
"COMPASS_May22_186","CB","GWI","transition","786","O",528.85,6.6,2,26.152,1.246,0.324,66.72,640.96,2033.87,3.67,103.77,41.95,2.41,9.36,35.52,0.05,89.29,674.78,11.58,25.514,2.417
"COMPASS_May22_187","CB","GWI","transition","789","O",505.33,6.6,2.05,NA,NA,NA,61.88,672.87,2052.6,3.53,130.81,36.78,1.96,8.73,34.22,0,81.68,750.26,20.96,20.643,1.971
"COMPASS_May22_188","CB","GWI","wc","W1","O",518.29,5.7,0.48,29.516,1.183,0.765,46.19,509.87,1967.36,3.6,60.8,98.28,2.98,4.38,25.53,0.25,131.42,39.09,34.46,0,15.377
"COMPASS_May22_189","CB","GWI","wc","W2","O",345.22,6,0.32,18.437,0.888,0.483,34.49,355.23,1418.14,2.58,46.36,61.44,1.89,3.42,16.68,0.08,83.51,173.6,26.68,0,7.548
"COMPASS_May22_190","CB","GWI","wc","W3","O",417.53,6.2,1.17,15.871,0.925,0.585,37.31,495.62,1680.88,3.01,53.19,65.29,2.36,5.14,21.72,0.1,94.61,104.72,31.02,0,8.243
"COMPASS_May22_191","CB","GWI","wc","W4","O",202.29,6.4,0.54,10.608,0.565,0.235,23.94,122.77,957.54,1.72,39.66,24.46,1.19,3.02,11.5,0,40.17,171.78,26.37,12.611,1.004
"COMPASS_May22_192","CB","GWI","wc","W5","O",301.65,5.6,0.27,17.072,1.048,0.457,23.79,383.44,1273.8,2.31,45.89,49.31,1.59,3.66,16.13,0.08,70.76,25.55,26.23,0,5.855
"COMPASS_May22_193","CB","GWI","wc","W6","O",70.49,5.9,1.48,4.69,0.22,0.167,10.06,77.84,501.43,0.92,12.85,17.61,0.82,1.26,5.64,0.03,25.36,7.8,4.57,9.52,1.362
"COMPASS_May22_194","CB","GWI","wc","W7","O",125.99,5.7,1.03,5.217,0.25,0.11,10.09,145.31,693.48,1.26,19.22,17.47,0.93,1.56,6.23,0.03,26.21,81.88,7.84,0,1.728
"COMPASS_May22_195","CB","GWI","wc","W8","O",267.15,5.9,0.18,14.631,0.773,0.415,25.17,279.92,1164.55,2.1,25.66,45.2,1.67,3.27,15.02,0.07,65.24,69.34,14.01,0,6.735
"COMPASS_Aug22_215","CB","GCW","upland","C12","A",34.29,6,0.24,2.938,0.195,0.022,5.31,33.26,0,0.71,24.87,0.03,0.24,3.15,1.4,0.1,4.91,17.98,4.63,0.016,0.01
"COMPASS_Aug22_216","CB","GCW","upland","C11","A",34.99,4.8,0.03,4.318,0.225,0.031,6.33,37.51,0,0.71,25.06,0.04,0.48,1.63,1.36,2.88,6.39,24.44,3.38,0.011,0.009
"COMPASS_Aug22_217","CB","GCW","upland","C10","A",45.73,5.3,0.04,4.683,0.28,0.022,8.56,54.38,0,0.78,27,0.06,0.58,5.54,2.23,0.15,8.56,83.32,4.67,0.016,0.015
"COMPASS_Aug22_218","CB","GCW","upland","C07","A",30.9,5.4,0.01,3.128,0.125,0.016,6.13,38.95,0,0.68,26.7,0.04,0.51,3.24,1.68,0.16,5.63,15.5,3.42,0.018,0.008
"COMPASS_Aug22_219","CB","GCW","upland","C19","A",43.94,5,0.02,5.448,0.232,0.029,9.64,70.21,0,0.76,21,0.04,0.81,3.83,3.24,1.91,9.84,19.5,3.13,0.015,0.016
"COMPASS_Aug22_220","CB","GCW","upland","C09","A",28.67,4.9,0.01,3.016,0.137,0.019,5.72,34.54,0,0.67,17.98,0.05,0.77,2.29,2.67,6.42,12.19,18.9,4.57,0.011,0.008
"COMPASS_Aug22_221","CB","GCW","upland","1383","A",38.93,5.2,0.01,3.476,0.229,0.022,6.96,41.41,0,0.73,20.57,0.03,0.4,4.48,2.32,0.74,7.96,23.51,4.92,0.019,0.013
"COMPASS_Aug22_222","CB","GCW","upland","1379","A",59.83,5.2,0.03,6.772,0.387,0.038,12.94,100.86,0,0.85,21.15,0.06,0.73,6.55,5.36,0.68,13.38,12.98,8.9,0.026,0.023
"COMPASS_Aug22_223","CB","GCW","transition","L1","A",33.9,4.4,0.12,6.886,0.314,0.048,14.57,130.83,0,0.71,21.96,1.45,0.58,1.22,2.04,2.66,7.93,38.73,4.54,0.603,0.085
"COMPASS_Aug22_224","CB","GCW","transition","L2","A",86.82,5,0.04,8.443,0.404,0.035,16.09,99.76,0,1.02,25.77,0.54,0.44,1.48,2.9,1.53,6.9,161.01,3.67,0.042,0.11
"COMPASS_Aug22_225","CB","GCW","transition","L3","A",98.69,4.7,0.06,11.471,0.582,0.059,18.01,105.69,0,1.09,3.04,0.74,0.57,1.05,3.24,2.95,8.55,315.25,4.57,0.193,0.188
"COMPASS_Aug22_226","CB","GCW","transition","L4","A",104.61,4.6,0.06,10.086,0.57,0.084,18.22,69.94,0,1.13,1.81,0.54,0.49,0.82,2.77,3.42,8.04,447.76,3.85,0.152,0.225
"COMPASS_Aug22_227","CB","GCW","transition","L5","A",101.53,4.6,0.05,6.178,0.369,0.113,12.43,65.89,0,1.11,20.81,0.34,0.49,0.65,2.03,2.39,5.89,1.89,5.99,0.096,0.279
"COMPASS_Aug22_228","CB","GCW","transition","L6","A",35.24,4.4,0.02,6.194,0.344,0.037,11.11,75.4,0,0.71,3.34,0.08,0.63,1.23,2.24,7.98,12.16,17.4,10.66,0.008,0.02
"COMPASS_Aug22_229","CB","GCW","transition","711","A",53.21,4.6,0.02,5.779,0.359,0.039,9.3,48.53,0,0.83,1.98,0.09,0.29,0.92,1.64,5.83,8.76,104.54,3.31,0.03,0.043
"COMPASS_Aug22_230","CB","GCW","transition","713","A",66.76,4.5,0.03,6.014,0.343,0.044,12.57,52.96,0,0.9,1.62,0.14,0.35,0.8,1.69,5.32,8.3,196.47,5.06,0.046,0.086
"COMPASS_Aug22_231","CB","GCW","wc","W1","A",741.96,5.5,5.39,31.188,1.527,1.459,63.17,175.22,0,4.95,24.26,NA,NA,NA,NA,NA,NA,31.69,167.29,99.71,37.442
"COMPASS_Aug22_232","CB","GCW","wc","W2","A",707.48,5.5,5.75,NA,NA,NA,63.09,190.43,0,4.75,31.84,88.81,2.93,9.07,35.27,0,136.08,21.15,33.14,99.384,54.045
"COMPASS_Aug22_233","CB","GCW","wc","W3","A",713.95,5.4,4.35,28.666,1.616,1.909,60.27,244.99,0,4.78,40.59,66.78,2.75,8.53,28.8,0,106.87,45.95,48.3,101.226,39.565
"COMPASS_Aug22_234","CB","GCW","wc","W4","A",689.77,5.7,4.5,34.079,1.681,1.836,70.91,184.01,0,4.62,6.01,88.32,3.53,7.16,32.48,0,131.49,108.73,201,97.291,37.672
"COMPASS_Aug22_235","CB","GCW","wc","W5","A",697.17,5.7,5.33,32.682,1.57,1.981,65.87,172.81,0,4.7,31.01,83.14,2.62,8.82,32.96,0.11,127.65,NA,43.64,107.477,46.246
"COMPASS_Aug22_236","CB","GCW","wc","W6","A",706.35,5.4,4.86,30.871,1.595,2.105,68.06,158.4,0,4.75,19.97,66.86,2.26,11.08,32.75,0,112.94,NA,43.57,95.793,36.818
"COMPASS_Aug22_237","CB","GCW","wc","W7","A",708.51,5.6,5.17,29.879,1.655,1.897,69.82,170.9,0,4.73,20.83,82.89,2.61,8.14,31.17,0.15,124.96,137.31,48.57,107.386,23.576
"COMPASS_Aug22_238","CB","GCW","wc","W8","A",798.39,5.2,4.16,27.964,1.619,1.7,70.11,195.34,NA,5.25,24.66,93.39,2.67,8.52,34.48,0.16,139.21,85.82,39.88,129.323,65.115
