"sample_label","mehlichp_g","iron_g","WSOC_g","base_cations_g","NH4_NO3_g","totalCN_g","bulk_for_drying_g","mehlichp_mL","iron_mL","WSOC_mL","base_cations_mL","NH4_NO4_mL","notes"
"COMPASS_Dec2021_120",1,,8.02,5.01,5.02,3.01,5.47,"10",,"40","25","25",
"COMPASS_Dec2021_001_vac",,,7.99,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_002_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_003_vac",,,8,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_004_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_005_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_006_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_007_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_008_vac",,,8,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_009_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_010_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_011_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_012_vac",,,8,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_013_vac",,,8,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_014_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_015_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_016_vac",,,7.98,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_017_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_018_vac",,,7.99,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_019_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_Dec2021_020_vac",,,8.01,,,,,,,"40",,,"vacuum-filtered"
"COMPASS_May22_129",1,1.24,8,8.01,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_130",0.96,1.17,8,7.99,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_131",1.04,1.19,8,7.99,4.99,,7.98,"10","12","40","25","25",
"COMPASS_May22_132",1.04,1.16,7.99,8,5,,7.98,"10","12","40","25","25",
"COMPASS_May22_133",0.98,1.24,8.02,7.99,5.01,,8.01,"10","12","40","25","25",
"COMPASS_May22_134",0.96,1.2,8,8,4.99,,8.01,"10","12","40","25","25",
"COMPASS_May22_135",1.03,1.2,7.99,8,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_136",0.99,1.19,7.99,7.99,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_137",0.99,1.16,7.98,7.98,5.02,,8,"10","12","40","25","25",
"COMPASS_May22_138",1.02,1.17,8.01,8.02,5.01,,7.98,"10","12","40","25","25",
"COMPASS_May22_139",1.04,1.16,8.02,7.98,5,,8.02,"10","12","40","25","25",
"COMPASS_May22_140",0.99,1.21,7.99,8.01,5.02,,7.99,"10","12","40","25","25",
"COMPASS_May22_141",1.01,1.24,7.99,8.02,4.99,,7.99,"10","12","40","25","25",
"COMPASS_May22_142",0.96,1.23,7.99,7.99,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_143",0.98,1.25,8,8,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_144",0.97,1.23,7.99,8,4.99,,8.01,"10","12","40","25","25",
"COMPASS_May22_145",0.98,1.19,7.99,8.01,4.98,,8.01,"10","12","40","25","25",
"COMPASS_May22_146",0.97,1.21,8,7.99,4.98,,8,"10","12","40","25","25",
"COMPASS_May22_147",0.99,1.2,8.02,8.01,4.98,,7.99,"10","12","40","25","25",
"COMPASS_May22_148",1.02,1.24,8,8,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_149",1.04,1.19,8.01,8.01,5,,8.02,"10","12","40","25","25",
"COMPASS_May22_150",1.02,1.19,8.02,8.01,4.99,,7.99,"10","12","40","25","25",
"COMPASS_May22_151",1.04,1.23,7.98,5.01,5,,7.98,"10","12","40","25","25",
"COMPASS_May22_152",1.04,1.15,7.98,5.02,5.02,,8.02,"10","12","40","25","25",
"COMPASS_May22_153",0.98,1.18,7.99,5.01,5.02,,7.98,"10","12","40","25","25",
"COMPASS_May22_154",1.03,1.24,8,5,5,,8.02,"10","12","40","25","25",
"COMPASS_May22_155",1.03,1.21,8.01,4.98,5.02,,8.01,"10","12","40","25","25",
"COMPASS_May22_156",1.03,1.22,7.98,4.98,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_157",1.02,1.22,8,5,5,,8,"10","12","40","25","25",
"COMPASS_May22_158",1.02,1.18,7.99,5,5,,8,"10","12","40","25","25",
"COMPASS_May22_159",1.03,1.22,7.98,5,5.02,,8.02,"10","12","40","25","25",
"COMPASS_May22_160",1,1.25,8,5.02,5,,8.02,"10","12","40","25","25",
"COMPASS_May22_161",1.03,1.16,8,5.01,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_162",1.04,1.21,7.98,5.01,4.98,,7.99,"10","12","40","25","25",
